condition,level,riskiness,risk_averseness,completion,n_matched_ev_decisions,file
Vanilla + context,-0.9,0.09,0.91,0.9975,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04/trials/gambling_d1d2_plasticity_pos_reg_opal04/trials_activity_ctxneg0p90.pkl
Vanilla + context,-0.8,0.065,0.935,0.9991666666666666,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04/trials/gambling_d1d2_plasticity_pos_reg_opal04/trials_activity_ctxneg0p80.pkl
Vanilla + context,-0.7,0.12,0.88,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04/trials/gambling_d1d2_plasticity_pos_reg_opal04/trials_activity_ctxneg0p70.pkl
Vanilla + context,-0.6,0.155,0.845,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04/trials/gambling_d1d2_plasticity_pos_reg_opal04/trials_activity_ctxneg0p60.pkl
Vanilla + context,-0.5,0.135,0.865,0.9991666666666666,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04/trials/gambling_d1d2_plasticity_pos_reg_opal04/trials_activity_ctxneg0p50.pkl
Vanilla + context,-0.4,0.14,0.86,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04/trials/gambling_d1d2_plasticity_pos_reg_opal04/trials_activity_ctxneg0p40.pkl
Vanilla + context,-0.3,0.3,0.7,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04/trials/gambling_d1d2_plasticity_pos_reg_opal04/trials_activity_ctxneg0p30.pkl
Vanilla + context,-0.2,0.355,0.645,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04/trials/gambling_d1d2_plasticity_pos_reg_opal04/trials_activity_ctxneg0p20.pkl
Vanilla + context,-0.1,0.415,0.585,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04/trials/gambling_d1d2_plasticity_pos_reg_opal04/trials_activity_ctxneg0p10.pkl
Vanilla + context,0.0,0.535,0.46499999999999997,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04/trials/gambling_d1d2_plasticity_pos_reg_opal04/trials_activity_ctxpos0p00.pkl
Vanilla + context,0.1,0.665,0.33499999999999996,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04/trials/gambling_d1d2_plasticity_pos_reg_opal04/trials_activity_ctxpos0p10.pkl
Vanilla + context,0.2,0.76,0.24,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04/trials/gambling_d1d2_plasticity_pos_reg_opal04/trials_activity_ctxpos0p20.pkl
Vanilla + context,0.3,0.845,0.15500000000000003,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04/trials/gambling_d1d2_plasticity_pos_reg_opal04/trials_activity_ctxpos0p30.pkl
Vanilla + context,0.4,0.845,0.15500000000000003,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04/trials/gambling_d1d2_plasticity_pos_reg_opal04/trials_activity_ctxpos0p40.pkl
Vanilla + context,0.5,0.845,0.15500000000000003,1.0,200,/Users/vlaruks/.claude-worktrees/pyrl/sharp-panini/data_progression3/d1d2_plasticity_opal04/trials/gambling_d1d2_plasticity_pos_reg_opal04/trials_activity_ctxpos0p50.pkl
