level,alpha_fixed_gamma,beta_alpha_fit,gamma_fixed_alpha,beta_gamma_fit
-0.9,0.5387628,11.932114,1.7843189,4.000229
-0.8,0.58404659,12.888579,1.520864,4.9091824
-0.7,0.62738876,12.01195,1.421723,5.2821447
-0.6,0.7104371,12.347146,1.277777,6.6550224
-0.5,0.72847755,12.265449,1.25349,6.9608756
-0.4,0.77615313,11.410095,1.2032942,7.4671935
-0.3,0.88214915,11.084476,1.0905047,8.9798824
-0.2,0.92558798,9.9927057,1.0636764,8.9641891
-0.1,0.96577571,10.584533,1.0323016,10.126992
0,1.0541353,9.7768058,0.96114263,10.40955
0.1,1.1230166,9.5269469,0.91086581,10.769436
0.2,1.1637851,8.3481713,0.88290048,9.7077774
0.3,1.2707871,7.7412661,0.80932115,9.5587525
0.4,1.3131391,6.6957605,0.78127211,8.4994885
0.5,1.3483849,6.4459658,0.75662258,8.4592833
0.6,1.4515548,5.7340532,0.69021274,7.9031291
0.7,1.4829013,5.0128091,0.66657792,6.9283594
0.8,1.5196258,5.3024379,0.63704239,7.5770798
0.9,1.6169995,4.7204392,0.56810246,7.532311
